Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Forward Checking,12,23,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011022090911865234,66
Backtracking,12,24,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002409219741821289,66
Forward Checking,12,24,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011463165283203125,66
Backtracking,12,25,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0026047229766845703,66
Forward Checking,12,25,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011920928955078125,66
Backtracking,12,26,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0024704933166503906,66
Forward Checking,12,26,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011436939239501953,66
Backtracking,12,27,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002469778060913086,66
Forward Checking,12,27,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0011398792266845703,66
Backtracking,12,28,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002532482147216797,66
Forward Checking,12,28,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0012226104736328125,66
Backtracking,12,29,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0024008750915527344,66
Forward Checking,12,29,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010907649993896484,66
Backtracking,12,30,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0024776458740234375,66
Forward Checking,12,30,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001203775405883789,66
Backtracking,15,1,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.019155263900756836,105
Forward Checking,15,1,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.007134914398193359,105
Backtracking,15,2,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.019275665283203125,105
Forward Checking,15,2,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.0070726871490478516,105
Backtracking,15,3,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.019462108612060547,105
Forward Checking,15,3,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.006832599639892578,105
Backtracking,15,4,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.01891922950744629,105
Forward Checking,15,4,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.00713348388671875,105
Backtracking,15,5,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.01871180534362793,105
Forward Checking,15,5,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.006996870040893555,105
