Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Genético,8,25,"[0, 7, 5, 2, 6, 1, 7, 4]",1,False,2.9371607303619385,100000
Hill Climbing,8,26,"[1, 3, 7, 2, 0, 2, 6, 5]",3,False,0.0015614032745361328,3
Simulated Annealing,8,26,"[6, 2, 0, 4, 1, 7, 5, 3]",1,False,0.006575345993041992,688
Genético,8,26,"[5, 7, 1, 3, 0, 6, 4, 2]",0,True,0.6385211944580078,21800
Hill Climbing,8,27,"[2, 5, 7, 1, 4, 6, 3, 0]",1,False,0.0015108585357666016,3
Simulated Annealing,8,27,"[4, 7, 5, 0, 2, 4, 6, 3]",1,False,0.006555795669555664,688
Genético,8,27,"[4, 6, 1, 5, 2, 0, 7, 3]",0,True,0.10924649238586426,3700
Hill Climbing,8,28,"[1, 4, 0, 7, 3, 1, 6, 2]",1,False,0.0022809505462646484,5
Simulated Annealing,8,28,"[4, 6, 1, 5, 2, 0, 3, 7]",0,True,0.006125211715698242,644
Genético,8,28,"[3, 5, 0, 2, 6, 2, 7, 1]",1,False,2.9643311500549316,100000
Hill Climbing,8,29,"[3, 6, 2, 5, 5, 1, 4, 0]",2,False,0.0011205673217773438,2
Simulated Annealing,8,29,"[5, 2, 5, 1, 4, 7, 0, 3]",1,False,0.006463289260864258,688
Genético,8,29,"[2, 6, 1, 7, 4, 0, 3, 5]",0,True,0.050238609313964844,1700
Hill Climbing,8,30,"[6, 0, 3, 0, 7, 5, 1, 5]",2,False,0.001882314682006836,4
Simulated Annealing,8,30,"[3, 1, 6, 2, 5, 7, 0, 4]",0,True,0.0057220458984375,607
Genético,8,30,"[4, 6, 3, 0, 2, 7, 5, 1]",0,True,0.04431939125061035,1500
Hill Climbing,10,1,"[6, 4, 3, 5, 0, 2, 5, 7, 8, 1]",3,False,0.004000186920166016,3
Simulated Annealing,10,1,"[2, 9, 5, 8, 1, 3, 0, 7, 4, 6]",1,False,0.009383916854858398,688
Genético,10,1,"[6, 3, 5, 8, 1, 7, 4, 2, 0, 9]",1,False,4.364017486572266,100000
Hill Climbing,10,2,"[4, 7, 9, 0, 3, 8, 6, 2, 2, 5]",1,False,0.004019737243652344,3
Simulated Annealing,10,2,"[0, 8, 3, 0, 6, 9, 1, 5, 7, 2]",1,False,0.00956869125366211,688
Genético,10,2,"[6, 1, 7, 2, 0, 9, 4, 8, 5, 3]",0,True,0.06423521041870117,1500
Hill Climbing,10,3,"[8, 6, 2, 0, 8, 4, 7, 9, 3, 5]",1,False,0.0061070919036865234,5
Simulated Annealing,10,3,"[7, 4, 4, 9, 0, 3, 5, 8, 1, 6]",2,False,0.009418249130249023,688
Genético,10,3,"[0, 5, 1, 9, 7, 3, 8, 0, 2, 6]",1,False,4.266475677490234,100000
Hill Climbing,10,4,"[7, 4, 6, 0, 9, 1, 3, 5, 8, 2]",1,False,0.004686117172241211,4
Simulated Annealing,10,4,"[1, 4, 6, 9, 0, 5, 8, 6, 3, 7]",1,False,0.008763551712036133,688
Genético,10,4,"[3, 6, 2, 9, 5, 1, 8, 4, 0, 7]",0,True,0.08748149871826172,2200
Hill Climbing,10,5,"[4, 6, 0, 6, 1, 7, 5, 8, 2, 9]",1,False,0.003783702850341797,3
Simulated Annealing,10,5,"[2, 9, 6, 3, 0, 8, 1, 4, 9, 7]",1,False,0.008684396743774414,688
Genético,10,5,"[1, 3, 7, 9, 4, 8, 5, 0, 2, 6]",0,True,1.0305910110473633,25700
Hill Climbing,10,6,"[1, 4, 0, 5, 3, 9, 6, 2, 8, 1]",2,False,0.0037686824798583984,3
Simulated Annealing,10,6,"[5, 7, 1, 6, 8, 2, 4, 0, 3, 9]",1,False,0.008817911148071289,688
Genético,10,6,"[5, 3, 0, 4, 7, 9, 2, 6, 8, 1]",0,True,0.12514352798461914,3100
Hill Climbing,10,7,"[0, 6, 3, 0, 2, 9, 5, 8, 1, 4]",2,False,0.004635334014892578,4
Simulated Annealing,10,7,"[8, 3, 5, 9, 1, 4, 0, 3, 6, 2]",1,False,0.008774280548095703,688
Genético,10,7,"[2, 8, 5, 7, 1, 3, 0, 6, 4, 9]",0,True,3.897878408432007,97500
Hill Climbing,10,8,"[6, 7, 0, 0, 5, 4, 9, 3, 8, 2]",3,False,0.003712892532348633,3
Simulated Annealing,10,8,"[1, 6, 4, 0, 8, 5, 9, 2, 3, 7]",1,False,0.008753061294555664,688
Genético,10,8,"[4, 9, 5, 0, 2, 7, 7, 1, 3, 8]",1,False,4.001985788345337,100000
Hill Climbing,10,9,"[0, 5, 1, 9, 7, 2, 8, 3, 9, 4]",1,False,0.0027985572814941406,2
Simulated Annealing,10,9,"[7, 4, 8, 5, 9, 1, 5, 2, 6, 3]",1,False,0.008625030517578125,688
Genético,10,9,"[9, 3, 5, 2, 8, 1, 4, 7, 0, 6]",0,True,2.965388298034668,74600
Hill Climbing,10,10,"[2, 8, 5, 9, 4, 0, 3, 6, 6, 1]",2,False,0.002718687057495117,2
Simulated Annealing,10,10,"[6, 4, 0, 8, 5, 5, 1, 9, 7, 3]",1,False,0.008577823638916016,688
Genético,10,10,"[5, 3, 9, 0, 4, 1, 9, 6, 2, 7]",1,False,3.992866277694702,100000
Hill Climbing,10,11,"[7, 1, 4, 9, 0, 6, 3, 5, 2, 8]",1,False,0.005568742752075195,5
Simulated Annealing,10,11,"[3, 0, 7, 9, 4, 1, 4, 8, 5, 2]",1,False,0.008653879165649414,688
Genético,10,11,"[6, 8, 5, 1, 9, 0, 2, 4, 7, 3]",0,True,0.5841615200042725,14700
Hill Climbing,10,12,"[5, 8, 1, 3, 7, 2, 2, 9, 6, 4]",1,False,0.00457000732421875,4
Simulated Annealing,10,12,"[1, 4, 2, 8, 5, 9, 4, 6, 0, 3]",2,False,0.008758544921875,688
Genético,10,12,"[3, 6, 9, 1, 4, 7, 5, 8, 2, 0]",1,False,3.969755172729492,100000
Hill Climbing,10,13,"[2, 8, 4, 9, 3, 0, 7, 1, 8, 6]",2,False,0.002788066864013672,2
Simulated Annealing,10,13,"[6, 2, 7, 7, 1, 8, 5, 0, 4, 9]",1,False,0.00864720344543457,688
Genético,10,13,"[9, 6, 2, 7, 1, 3, 0, 8, 4, 5]",1,False,3.971897840499878,100000
Hill Climbing,10,14,"[7, 4, 1, 9, 4, 1, 8, 5, 3, 0]",3,False,0.0035419464111328125,3
Simulated Annealing,10,14,"[5, 6, 4, 9, 7, 3, 7, 2, 8, 1]",2,False,0.008661985397338867,688
Genético,10,14,"[8, 4, 2, 0, 5, 9, 0, 6, 3, 1]",1,False,3.975572347640991,100000
Hill Climbing,10,15,"[8, 3, 9, 0, 2, 0, 4, 6, 1, 5]",2,False,0.0046160221099853516,4
Simulated Annealing,10,15,"[6, 0, 9, 7, 4, 2, 8, 8, 1, 3]",1,False,0.008639812469482422,688
Genético,10,15,"[5, 0, 6, 1, 7, 2, 8, 3, 9, 4]",0,True,0.09167838096618652,2300
Hill Climbing,10,16,"[5, 2, 0, 9, 6, 1, 3, 7, 0, 8]",1,False,0.006543397903442383,6
Simulated Annealing,10,16,"[7, 1, 4, 9, 0, 8, 5, 2, 6, 1]",1,False,0.00876307487487793,688
Genético,10,16,"[5, 1, 9, 4, 6, 8, 0, 2, 7, 3]",1,False,3.9933152198791504,100000
Hill Climbing,10,17,"[3, 0, 6, 4, 9, 1, 4, 7, 5, 2]",2,False,0.005554676055908203,5
Simulated Annealing,10,17,"[9, 3, 6, 4, 1, 8, 0, 5, 7, 2]",0,True,0.008259296417236328,651
Genético,10,17,"[6, 3, 0, 7, 5, 2, 9, 1, 8, 4]",0,True,0.17916345596313477,4500
Hill Climbing,10,18,"[1, 8, 2, 5, 3, 0, 4, 7, 9, 6]",2,False,0.0028498172760009766,2
Simulated Annealing,10,18,"[2, 8, 6, 9, 7, 1, 4, 0, 5, 3]",1,False,0.008761405944824219,688
Genético,10,18,"[3, 5, 8, 4, 9, 0, 2, 7, 1, 6]",0,True,2.4981918334960938,62100
Hill Climbing,10,19,"[2, 6, 4, 7, 0, 3, 5, 8, 1, 9]",1,False,0.005482196807861328,5
Simulated Annealing,10,19,"[4, 1, 5, 9, 6, 0, 2, 8, 3, 7]",1,False,0.008708477020263672,688
Genético,10,19,"[6, 3, 0, 7, 5, 2, 9, 1, 4, 8]",0,True,0.46394968032836914,11500
Hill Climbing,10,20,"[7, 3, 8, 6, 2, 0, 5, 1, 9, 4]",1,False,0.006400585174560547,6
Simulated Annealing,10,20,"[4, 1, 7, 9, 7, 0, 2, 9, 6, 8]",2,False,0.008684873580932617,688
Genético,10,20,"[8, 4, 7, 1, 3, 6, 0, 9, 2, 5]",1,False,4.006606340408325,100000
Hill Climbing,10,21,"[7, 2, 8, 3, 1, 9, 5, 5, 0, 4]",1,False,0.006476879119873047,6
Simulated Annealing,10,21,"[8, 6, 1, 7, 0, 6, 9, 2, 5, 3]",1,False,0.008810758590698242,688
Genético,10,21,"[5, 1, 8, 4, 2, 7, 9, 6, 3, 0]",0,True,3.4280786514282227,86400
Hill Climbing,10,22,"[9, 4, 1, 5, 2, 6, 7, 0, 8, 3]",1,False,0.0046117305755615234,4
Simulated Annealing,10,22,"[4, 7, 3, 0, 9, 1, 8, 5, 8, 2]",1,False,0.008737802505493164,688
Genético,10,22,"[5, 3, 6, 0, 7, 1, 6, 8, 2, 4]",1,False,4.015166997909546,100000
Hill Climbing,10,23,"[4, 6, 9, 0, 5, 8, 2, 5, 7, 1]",1,False,0.006261348724365234,6
Simulated Annealing,10,23,"[9, 5, 0, 7, 3, 0, 8, 1, 4, 2]",2,False,0.008671760559082031,688
Genético,10,23,"[4, 4, 1, 9, 6, 2, 0, 8, 3, 7]",1,False,4.02002477645874,100000
Hill Climbing,10,24,"[7, 3, 1, 9, 4, 0, 3, 8, 2, 5]",1,False,0.00374603271484375,3
Simulated Annealing,10,24,"[4, 2, 9, 2, 6, 8, 1, 5, 8, 0]",2,False,0.008742809295654297,688
Genético,10,24,"[1, 7, 4, 8, 0, 5, 9, 2, 6, 3]",0,True,0.47076940536499023,11800
Hill Climbing,10,25,"[2, 4, 1, 8, 0, 5, 3, 6, 9, 7]",1,False,0.003744363784790039,3
Simulated Annealing,10,25,"[0, 8, 5, 9, 1, 4, 7, 3, 6, 2]",1,False,0.008679866790771484,688
Genético,10,25,"[5, 3, 8, 0, 2, 9, 6, 1, 7, 4]",0,True,3.4795780181884766,86900
Hill Climbing,10,26,"[7, 5, 8, 2, 0, 3, 7, 1, 4, 9]",3,False,0.002785205841064453,2
Simulated Annealing,10,26,"[2, 6, 9, 9, 4, 0, 0, 8, 1, 7]",2,False,0.00869441032409668,688
Genético,10,26,"[5, 1, 8, 2, 7, 3, 0, 9, 4, 6]",1,False,4.020026445388794,100000
Hill Climbing,10,27,"[2, 9, 1, 8, 5, 3, 0, 0, 6, 4]",2,False,0.0036401748657226562,3
Simulated Annealing,10,27,"[8, 2, 4, 7, 3, 0, 6, 4, 1, 5]",1,False,0.00869607925415039,688
Genético,10,27,"[9, 2, 5, 8, 1, 9, 6, 3, 0, 4]",1,False,3.979581832885742,100000
